Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene3D	PDB
A0A087X1C5	reviewed	CP2D7_HUMAN	Putative cytochrome P450 2D7 (EC 1.14.14.1)	CYP2D7	Homo sapiens (Human)	515	1.10.630.10;	
A0A0B4J2F2	reviewed	SIK1B_HUMAN	Putative serine/threonine-protein kinase SIK1B (EC 2.7.11.1) (Salt-inducible kinase 1B)	SIK1B	Homo sapiens (Human)	783	1.10.510.10;	
A0A0K2S4Q6	reviewed	CD3CH_HUMAN	Protein CD300H (CD300 antigen-like family member H)	CD300H	Homo sapiens (Human)	201	2.60.40.10;	
A0A1B0GTW7	reviewed	CIROP_HUMAN	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)	CIROP LMLN2	Homo sapiens (Human)	788	3.10.170.20;3.90.132.10;	
A0AV02	reviewed	S12A8_HUMAN	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)	SLC12A8 CCC9	Homo sapiens (Human)	714	1.20.1740.10;	
A0AV96	reviewed	RBM47_HUMAN	RNA-binding protein 47 (RNA-binding motif protein 47)	RBM47	Homo sapiens (Human)	593	3.30.70.330;	2DIS;
A0AVF1	reviewed	IFT56_HUMAN	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)	IFT56 TTC26	Homo sapiens (Human)	554	1.25.40.10;	
A0AVK6	reviewed	E2F8_HUMAN	Transcription factor E2F8 (E2F-8)	E2F8	Homo sapiens (Human)	867	1.10.10.10;	4YO2;
A0AVT1	reviewed	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2	Homo sapiens (Human)	1052	3.40.50.720;2.40.30.180;3.50.50.80;3.40.50.12550;1.10.10.2660;3.10.290.60;	7PVN;7PYV;7SOL;
A0FGR8	reviewed	ESYT2_HUMAN	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	ESYT2 FAM62B KIAA1228	Homo sapiens (Human)	921	2.60.40.150;	2DMG;4NPJ;4NPK;4P42;
