gene_name	cath_superfamily	pdb_id	chromosome	gene_id	genome_accessions
CYP2D7	1.10.630.10;		22	1564	{'-': '-:-', 'Reference GRCh38.p14 Primary Assembly': '42139575:42144482', 'Alternate T2T-CHM13v2.0': '42619074:42623971', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '61925:66822', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '49768:54675', 'Reference GRCh38.p14 PATCHES': '30981:35879'}
SIK1B	1.10.510.10;				
CD300H	2.60.40.10;		17	100130520	{'Reference GRCh38.p14 Primary Assembly': '74557242:74567508', 'Alternate T2T-CHM13v2.0': '75447763:75458029', 'Reference GRCh38.p14 PATCHES': '133691:143956'}
CIROP	3.10.170.20;3.90.132.10;		14	100128908	{'Reference GRCh38.p14 Primary Assembly': '23099061:23104988', 'Alternate T2T-CHM13v2.0': '17299695:17305633'}
SLC12A8	1.20.1740.10;		3	84561	{'-': '4999:135103', 'Reference GRCh38.p14 Primary Assembly': '125082643:125212747', 'Alternate T2T-CHM13v2.0': '127808302:127940352'}
RBM47	3.30.70.330;	2DIS;	4	54502	{'Reference GRCh38.p14 Primary Assembly': '40423279:40630851', 'Alternate T2T-CHM13v2.0': '40396949:40605119'}
IFT56	1.25.40.10;		7	79989	{'Reference GRCh38.p14 Primary Assembly': '139133777:139191985', 'Alternate T2T-CHM13v2.0': '140447059:140505275'}
E2F8	1.10.10.10;	4YO2;	11	79733	{'Reference GRCh38.p14 Primary Assembly': '19224062:19241654', 'Alternate T2T-CHM13v2.0': '19344149:19361741'}
UBA6	3.40.50.720;2.40.30.180;3.50.50.80;3.40.50.12550;1.10.10.2660;3.10.290.60;	7PVN;7PYV;7SOL;	4	55236	{'Reference GRCh38.p14 Primary Assembly': '67612651:67701154', 'Alternate T2T-CHM13v2.0': '71055729:71144264'}
ESYT2	2.60.40.150;	2DMG;4NPJ;4NPK;4P42;	7	57488	{'Reference GRCh38.p14 Primary Assembly': '158730996:158829508', 'Alternate T2T-CHM13v2.0': '159954851:160053445'}
